class_index,class,height ,width,scale by ,what is,symtoms ,medicine,field1,field2,field3,field4
0, Apple Fruit,300,300,1,"Apples are a beloved fruit cherished for their delightful combination of sweetness and crunch. Available in a spectrum of hues, from vibrant reds to sunny yellows and lush greens, apples offer a diverse array of flavors, ranging from tangy to honey-sweet. Beyond their delicious taste, apples are a nutritional powerhouse, packed with fiber, vitamins, and antioxidants. Whether enjoyed as a convenient on-the-go snack, sliced atop salads, baked into warm pies, or transformed into refreshing cider, apples serve as a versatile ingredient in both sweet and savory dishes. With their rich cultural significance and associations with health and wisdom, apples remain a timeless symbol of wholesome nourishment and culinary delight.",Calories: 95,Fat: 0 grams,Protein: 1 gram,Carbohydrates: 25 grams,Sugar: 19 grams,Fiber: 3 grams
1,Banana Fruit,300,300,1,"Bananas are a universally beloved fruit renowned for their versatility, convenience, and delightful flavor. Encased in a vibrant yellow peel, bananas offer a creamy, subtly sweet flesh that appeals to palates of all ages. Whether eaten fresh as a quick, nutritious snack or incorporated into an array of culinary creations, bananas serve as a staple ingredient in kitchens worldwide. Beyond their delectable taste and smooth texture, bananas are a nutritional powerhouse, packed with essential vitamins, minerals, and dietary fiber. They provide a natural energy boost, making them an ideal choice for fueling active lifestyles or combating midday fatigue. With their naturally portable packaging and year-round availability, bananas have earned their place as a go-to fruit for satisfying hunger on the go and adding a touch of sweetness to a variety of dishes, from breakfast staples like smoothie bowls and pancakes to decadent desserts like banana bread and creamy ice cream.",Calories: 105 kcal,Fat: 0.4 grams,Protein: 1.3 grams,Carbohydrates: 27 grams,Sugar: 14.4 grams,Fiber: 3.1 grams
2,Beetroot,300,300,1,"
Beetroots, also known as beets, are a vibrant and nutritious root vegetable that has been enjoyed for centuries. Their rich, deep purple-red color and earthy flavor make them a versatile ingredient in various culinary dishes.

Rich in essential nutrients such as folate, manganese, potassium, and vitamin C, beetroots offer a range of health benefits. Their high fiber content promotes digestive health, while the presence of dietary nitrates has been linked to improved cardiovascular function and lower blood pressure.

One of the simplest ways to enjoy beetroots is by roasting or boiling them and adding them to salads or soups. Their sweet, earthy flavor pairs well with tangy dressings or creamy sauces. Beetroots can also be pickled to preserve their freshness and add a zesty kick to dishes.",Calories: 50 kcal,Fat: 0.3 grams,Protein: 1 gram,Carbohydrates: 12 grams,Sugar: 8 grams,Fiber: 2 grams
3,Bell pepper,300,300,1,"
Bell pepper, also known as sweet pepper or capsicum, is a popular vegetable known for its mild flavor, crisp texture, and vibrant colors. It belongs to the nightshade family and is native to Central and South America, although it is now cultivated and enjoyed worldwide.

Bell peppers come in a variety of colors, including green, red, yellow, orange, and even purple, depending on the stage of ripeness. Each color variation offers a slightly different flavor profile, with red bell peppers being the sweetest and green bell peppers having a slightly more bitter taste.

One of the key nutritional benefits of bell peppers is their high content of vitamins and antioxidants. They are particularly rich in vitamin C, which supports immune function, skin health, and collagen production. Bell peppers also provide vitamin A, vitamin B6, vitamin E, and various minerals such as potassium and folate.",Calories: 83 kcal,Fat: 1.1 grams,Protein: 0.44 grams,Carbohydrates: 19.96 grams,Sugar: 13.45 grams,Fiber: 5.3 grams
4,cabbage,300,300,1,"
Cabbage is a leafy green or purple vegetable that belongs to the Brassica genus, which also includes broccoli, cauliflower, and Brussels sprouts. It is widely cultivated and consumed worldwide due to its versatility, nutritional value, and long shelf life.

Cabbage is an excellent source of vitamins, minerals, and antioxidants, making it a nutritious addition to any diet. It is particularly rich in vitamin C, vitamin K, vitamin B6, and folate. Cabbage also provides significant amounts of fiber, which supports digestive health and may help lower cholesterol levels.

One of the most common varieties of cabbage is green cabbage, which has a mild flavor and crunchy texture. Red cabbage, with its vibrant purple color, has a slightly peppery taste and adds a pop of color to dishes. Savoy cabbage, with its crinkled leaves, is another popular variety that is often used in salads and stir-fries.

Cabbage can be enjoyed raw or cooked and is incredibly versatile in the kitchen. Raw cabbage is often used in salads, slaws, and sandwiches, while cooked cabbage can be boiled, steamed, stir-fried, or braised. It can also be fermented to make sauerkraut, a traditional dish that is rich in probiotics and beneficial bacteria.",Calories: 69 kcal,Fat: 0.16 grams,Protein: 0.72 grams,Carbohydrates: 18.1 grams,Sugar: 15.48 grams,Fiber: 0.9 grams
5,Capsicum,300,300,1,"
Capsicum, also known as bell pepper or sweet pepper, is a popular vegetable known for its mild flavor, crisp texture, and vibrant colors. It belongs to the nightshade family and is native to Central and South America, although it is now cultivated and enjoyed worldwide.

Capsicums come in a variety of colors, including green, red, yellow, orange, and even purple, depending on the stage of ripeness. Each color variation offers a slightly different flavor profile, with red capsicums being the sweetest and green capsicums having a slightly more bitter taste.

One of the key nutritional benefits of capsicum is its high content of vitamins and antioxidants. They are particularly rich in vitamin C, which supports immune function, skin health, and collagen production. Capsicums also provide vitamin A, vitamin B6, vitamin E, and various minerals such as potassium and folate.

Capsicums can be enjoyed raw or cooked and are incredibly versatile in the kitchen. Raw capsicums add crunch and flavor to salads, sandwiches, and vegetable platters. They can also be roasted, grilled, sautéed, or stuffed with savory fillings for a delicious main dish or side dish.

In addition to their culinary uses, capsicums are often used to add color and flavor to dishes such as stir-fries, curries, soups, and stews. Their vibrant colors make them a visually appealing ingredient that can elevate the presentation of any dish.",Calories: 61 kcal,Fat: 0.5 grams,Protein: 1.1 grams,Carbohydrates: 14.7 grams,Sugar: 9.0 grams,Fiber: 3.0 grams
6,carrot,300,300,1,"Carrots are root vegetables that are widely recognized for their vibrant orange color, crunchy texture, and sweet flavor. They belong to the Apiaceae family and are one of the most popular and versatile vegetables consumed worldwide.

Carrots are packed with essential nutrients and antioxidants, making them a valuable addition to a healthy diet. They are particularly rich in beta-carotene, a precursor to vitamin A, which is important for vision, immune function, and skin health. Carrots also provide significant amounts of vitamin K, vitamin C, potassium, and fiber.

One of the most common ways to enjoy carrots is raw, either as a crunchy snack or as part of a salad or vegetable platter. They can also be cooked in various ways, including steaming, boiling, roasting, or sautéing. Cooking carrots helps to soften their texture and enhance their natural sweetness.

Carrots are a versatile ingredient that can be incorporated into a wide range of dishes. They are commonly used in soups, stews, stir-fries, and casseroles to add flavor, texture, and color. Carrots can also be grated and added to baked goods such as cakes, muffins, and bread for added moisture and sweetness.",Calories: 60 kcal,Fat: 0.4 grams,Protein: 0.8 grams,Carbohydrates: 15 grams,Sugar: 14 grams,Fiber: 1.6 grams
7,cauliflower,300,300,1,"
Cauliflower is a versatile and nutritious vegetable that belongs to the Brassica oleracea species, which also includes broccoli, cabbage, and kale. It is characterized by its compact head, which is composed of undeveloped flower buds.

One of the key nutritional benefits of cauliflower is its high content of vitamins, minerals, and antioxidants. It is particularly rich in vitamin C, vitamin K, folate, and potassium. Additionally, cauliflower is low in calories and carbohydrates, making it a popular choice for those following low-carb or ketogenic diets.

Cauliflower is incredibly versatile and can be prepared in numerous ways. It can be eaten raw, added to salads for a crunchy texture, or roasted, steamed, or boiled as a side dish. Cauliflower can also be mashed or pureed to create creamy soups or used as a substitute for grains in dishes like cauliflower rice or cauliflower pizza crust.

One of the most popular ways to prepare cauliflower is by roasting it in the oven with olive oil and spices, which brings out its natural sweetness and creates a delicious caramelized flavor. Cauliflower can also be seasoned with herbs and spices such as garlic, cumin, or turmeric to add depth and complexity to its taste.",Calories: 47 kcal,Fat: 0.1 grams,Protein: 1 grams,Carbohydrates: 12 grams,Sugar: 9 grams,Fiber: 2.4 grams
8,chilli pepper,300,300,1,"
Chili peppers, often simply referred to as chilies or hot peppers, are a staple ingredient in cuisines around the world. These spicy fruits come in a variety of shapes, sizes, colors, and heat levels, ranging from mild to extremely hot.

One of the most notable compounds in chili peppers is capsaicin, which is responsible for their characteristic heat. Capsaicin is known to have various health benefits, including pain relief, improved metabolism, and potential anti-inflammatory properties.

Chili peppers are also rich in vitamins and minerals, particularly vitamin C, vitamin A, and potassium. These nutrients contribute to overall health and well-being, supporting immune function, vision, and heart health.

In culinary applications, chili peppers are used to add heat and flavor to a wide range of dishes, including soups, stews, sauces, marinades, and salsas. They can be used fresh, dried, or powdered, and their heat level can be adjusted based on personal preference.",Calories: 32 kcal,Fat: 0.3 grams,Protein: 0.7 grams,Carbohydrates: 7.7 grams,Sugar: 4.9 grams,Fiber: 2 grams
9,corn,300,300,1,"Corn, also known as maize, is a versatile cereal grain cherished for its sweet and savory taste. Available in various forms such as fresh, canned, or frozen, corn adds a burst of flavor and texture to a wide range of dishes. Whether enjoyed on the cob, grilled to perfection, or incorporated into soups, salads, and casseroles, corn is a staple ingredient in many cuisines worldwide.",Calories: 96,Fat: 1 gram,Protein: 3 grams,Carbohydrates: 21 grams,Sugar: 4 grams,Fiber: 2 grams
